"Quantity","Error","Model","Mediators","Distance","Type"
"XY",11.4074074074074,"Phi-3",6,3,"Global"
"XC",0.438095238095238,"Phi-3",2,1,"Local"
"XD",1.19166666666667,"Phi-3",3,2,"Local"
"CY",1.46376811594203,"Phi-3",3,2,"Local"
"DY",0.808219178082192,"Phi-3",2,1,"Local"
"CD",0.534338358458961,"Phi-3",0,1,"Local"
"XY",11.3703703703704,"Phi-3",6,3,"Global"
"XC",0.614285714285714,"Phi-3",2,1,"Local"
"XD",1.35,"Phi-3",3,2,"Local"
"CY",1.49275362318841,"Phi-3",3,2,"Local"
"DY",0.894977168949772,"Phi-3",2,1,"Local"
"CD",0.55108877721943,"Phi-3",0,1,"Local"
"XY",11.4074074074074,"Phi-3",6,3,"Global"
"XC",0.50952380952381,"Phi-3",2,1,"Local"
"XD",1.175,"Phi-3",3,2,"Local"
"CY",1.42753623188406,"Phi-3",3,2,"Local"
"DY",0.812785388127854,"Phi-3",2,1,"Local"
"CD",0.527638190954774,"Phi-3",0,1,"Local"
"XY",11.962962962963,"Phi-3",6,3,"Global"
"XC",0.542857142857143,"Phi-3",2,1,"Local"
"XD",1.40833333333333,"Phi-3",3,2,"Local"
"CY",1.5,"Phi-3",3,2,"Local"
"DY",0.931506849315068,"Phi-3",2,1,"Local"
"CD",0.537688442211055,"Phi-3",0,1,"Local"
"XY",11.5555555555556,"Phi-3",6,3,"Global"
"XC",0.523809523809524,"Phi-3",2,1,"Local"
"XD",1.15,"Phi-3",3,2,"Local"
"CY",1.50724637681159,"Phi-3",3,2,"Local"
"DY",0.849315068493151,"Phi-3",2,1,"Local"
"CD",0.561139028475712,"Phi-3",0,1,"Local"
"XY",11.3703703703704,"Phi-3",6,3,"Global"
"XC",0.504761904761905,"Phi-3",2,1,"Local"
"XD",1.24166666666667,"Phi-3",3,2,"Local"
"CY",1.34782608695652,"Phi-3",3,2,"Local"
"DY",0.812785388127854,"Phi-3",2,1,"Local"
"CD",0.556113902847571,"Phi-3",0,1,"Local"
"XY",10.9259259259259,"Phi-3",6,3,"Global"
"XC",0.504761904761905,"Phi-3",2,1,"Local"
"XD",1.175,"Phi-3",3,2,"Local"
"CY",1.26811594202899,"Phi-3",3,2,"Local"
"DY",0.776255707762557,"Phi-3",2,1,"Local"
"CD",0.559463986599665,"Phi-3",0,1,"Local"
"XY",11.0740740740741,"Phi-3",6,3,"Global"
"XC",0.623809523809524,"Phi-3",2,1,"Local"
"XD",1.325,"Phi-3",3,2,"Local"
"CY",1.44202898550725,"Phi-3",3,2,"Local"
"DY",0.812785388127854,"Phi-3",2,1,"Local"
"CD",0.541038525963149,"Phi-3",0,1,"Local"
"XY",11.2592592592593,"Phi-3",6,3,"Global"
"XC",0.528571428571429,"Phi-3",2,1,"Local"
"XD",1.225,"Phi-3",3,2,"Local"
"CY",1.39855072463768,"Phi-3",3,2,"Local"
"DY",0.82648401826484,"Phi-3",2,1,"Local"
"CD",0.577889447236181,"Phi-3",0,1,"Local"
"XY",10.6296296296296,"Phi-3",6,3,"Global"
"XC",0.466666666666667,"Phi-3",2,1,"Local"
"XD",1.06666666666667,"Phi-3",3,2,"Local"
"CY",1.34057971014493,"Phi-3",3,2,"Local"
"DY",0.757990867579909,"Phi-3",2,1,"Local"
"CD",0.544388609715243,"Phi-3",0,1,"Local"
"XY",10.6296296296296,"Phi-3",6,3,"Global"
"XC",0.595238095238095,"Phi-3",2,1,"Local"
"XD",1.25833333333333,"Phi-3",3,2,"Local"
"CY",1.39855072463768,"Phi-3",3,2,"Local"
"DY",0.789954337899543,"Phi-3",2,1,"Local"
"CD",0.520938023450586,"Phi-3",0,1,"Local"
"XY",11.2222222222222,"Phi-3",6,3,"Global"
"XC",0.542857142857143,"Phi-3",2,1,"Local"
"XD",1.20833333333333,"Phi-3",3,2,"Local"
"CY",1.39855072463768,"Phi-3",3,2,"Local"
"DY",0.812785388127854,"Phi-3",2,1,"Local"
"CD",0.544388609715243,"Phi-3",0,1,"Local"
"XY",11.5925925925926,"Phi-3",6,3,"Global"
"XC",0.628571428571429,"Phi-3",2,1,"Local"
"XD",1.36666666666667,"Phi-3",3,2,"Local"
"CY",1.48550724637681,"Phi-3",3,2,"Local"
"DY",0.835616438356165,"Phi-3",2,1,"Local"
"CD",0.536013400335008,"Phi-3",0,1,"Local"
"XY",11.3333333333333,"Phi-3",6,3,"Global"
"XC",0.604761904761905,"Phi-3",2,1,"Local"
"XD",1.20833333333333,"Phi-3",3,2,"Local"
"CY",1.38405797101449,"Phi-3",3,2,"Local"
"DY",0.821917808219178,"Phi-3",2,1,"Local"
"CD",0.547738693467337,"Phi-3",0,1,"Local"
"XY",11,"Phi-3",6,3,"Global"
"XC",0.514285714285714,"Phi-3",2,1,"Local"
"XD",1.16666666666667,"Phi-3",3,2,"Local"
"CY",1.41304347826087,"Phi-3",3,2,"Local"
"DY",0.785388127853881,"Phi-3",2,1,"Local"
"CD",0.569514237855946,"Phi-3",0,1,"Local"
"XY",10.7407407407407,"Phi-3",6,3,"Global"
"XC",0.552380952380953,"Phi-3",2,1,"Local"
"XD",1.39166666666667,"Phi-3",3,2,"Local"
"CY",1.32608695652174,"Phi-3",3,2,"Local"
"DY",0.748858447488585,"Phi-3",2,1,"Local"
"CD",0.552763819095477,"Phi-3",0,1,"Local"
"XY",10.9259259259259,"Phi-3",6,3,"Global"
"XC",0.538095238095238,"Phi-3",2,1,"Local"
"XD",1.23333333333333,"Phi-3",3,2,"Local"
"CY",1.3768115942029,"Phi-3",3,2,"Local"
"DY",0.735159817351598,"Phi-3",2,1,"Local"
"CD",0.527638190954774,"Phi-3",0,1,"Local"
"XY",11.6296296296296,"Phi-3",6,3,"Global"
"XC",0.452380952380952,"Phi-3",2,1,"Local"
"XD",1.23333333333333,"Phi-3",3,2,"Local"
"CY",1.35507246376812,"Phi-3",3,2,"Local"
"DY",0.735159817351598,"Phi-3",2,1,"Local"
"CD",0.519262981574539,"Phi-3",0,1,"Local"
"XY",10.7777777777778,"Phi-3",6,3,"Global"
"XC",0.576190476190476,"Phi-3",2,1,"Local"
"XD",1.08333333333333,"Phi-3",3,2,"Local"
"CY",1.31159420289855,"Phi-3",3,2,"Local"
"DY",0.799086757990868,"Phi-3",2,1,"Local"
"CD",0.544388609715243,"Phi-3",0,1,"Local"
"XY",11,"Phi-3",6,3,"Global"
"XC",0.495238095238095,"Phi-3",2,1,"Local"
"XD",1.13333333333333,"Phi-3",3,2,"Local"
"CY",1.3695652173913,"Phi-3",3,2,"Local"
"DY",0.748858447488585,"Phi-3",2,1,"Local"
"CD",0.581239530988275,"Phi-3",0,1,"Local"
"XY",11.6296296296296,"Phi-3",6,3,"Global"
"XC",0.590476190476191,"Phi-3",2,1,"Local"
"XD",1.29166666666667,"Phi-3",3,2,"Local"
"CY",1.32608695652174,"Phi-3",3,2,"Local"
"DY",0.767123287671233,"Phi-3",2,1,"Local"
"CD",0.541038525963149,"Phi-3",0,1,"Local"
"XY",11.2592592592593,"Phi-3",6,3,"Global"
"XC",0.452380952380952,"Phi-3",2,1,"Local"
"XD",1.325,"Phi-3",3,2,"Local"
"CY",1.41304347826087,"Phi-3",3,2,"Local"
"DY",0.799086757990868,"Phi-3",2,1,"Local"
"CD",0.576214405360134,"Phi-3",0,1,"Local"
"XY",11.8148148148148,"Phi-3",6,3,"Global"
"XC",0.638095238095238,"Phi-3",2,1,"Local"
"XD",1.23333333333333,"Phi-3",3,2,"Local"
"CY",1.55072463768116,"Phi-3",3,2,"Local"
"DY",0.91324200913242,"Phi-3",2,1,"Local"
"CD",0.534338358458961,"Phi-3",0,1,"Local"
"XY",11.7037037037037,"Phi-3",6,3,"Global"
"XC",0.504761904761905,"Phi-3",2,1,"Local"
"XD",1.25,"Phi-3",3,2,"Local"
"CY",1.43478260869565,"Phi-3",3,2,"Local"
"DY",0.849315068493151,"Phi-3",2,1,"Local"
"CD",0.559463986599665,"Phi-3",0,1,"Local"
"XY",11.6666666666667,"Phi-3",6,3,"Global"
"XC",0.561904761904762,"Phi-3",2,1,"Local"
"XD",1.35,"Phi-3",3,2,"Local"
"CY",1.57971014492754,"Phi-3",3,2,"Local"
"DY",0.968036529680365,"Phi-3",2,1,"Local"
"CD",0.554438860971524,"Phi-3",0,1,"Local"
"XY",11.4814814814815,"Phi-3",6,3,"Global"
"XC",0.595238095238095,"Phi-3",2,1,"Local"
"XD",1.26666666666667,"Phi-3",3,2,"Local"
"CY",1.52898550724638,"Phi-3",3,2,"Local"
"DY",0.917808219178082,"Phi-3",2,1,"Local"
"CD",0.49748743718593,"Phi-3",0,1,"Local"
"XY",11.7037037037037,"Phi-3",6,3,"Global"
"XC",0.633333333333334,"Phi-3",2,1,"Local"
"XD",1.30833333333333,"Phi-3",3,2,"Local"
"CY",1.44927536231884,"Phi-3",3,2,"Local"
"DY",0.904109589041096,"Phi-3",2,1,"Local"
"CD",0.520938023450586,"Phi-3",0,1,"Local"
"XY",11.2222222222222,"Phi-3",6,3,"Global"
"XC",0.60952380952381,"Phi-3",2,1,"Local"
"XD",1.36666666666667,"Phi-3",3,2,"Local"
"CY",1.46376811594203,"Phi-3",3,2,"Local"
"DY",0.858447488584475,"Phi-3",2,1,"Local"
"CD",0.536013400335008,"Phi-3",0,1,"Local"
"XY",11.7777777777778,"Phi-3",6,3,"Global"
"XC",0.590476190476191,"Phi-3",2,1,"Local"
"XD",1.23333333333333,"Phi-3",3,2,"Local"
"CY",1.57246376811594,"Phi-3",3,2,"Local"
"DY",0.849315068493151,"Phi-3",2,1,"Local"
"CD",0.542713567839196,"Phi-3",0,1,"Local"
"XY",11.4074074074074,"Phi-3",6,3,"Global"
"XC",0.614285714285714,"Phi-3",2,1,"Local"
"XD",1.325,"Phi-3",3,2,"Local"
"CY",1.38405797101449,"Phi-3",3,2,"Local"
"DY",0.757990867579909,"Phi-3",2,1,"Local"
"CD",0.541038525963149,"Phi-3",0,1,"Local"
"XY",11.4074074074074,"Phi-3",6,3,"Global"
"XC",0.50952380952381,"Phi-3",2,1,"Local"
"XD",1.29166666666667,"Phi-3",3,2,"Local"
"CY",1.39855072463768,"Phi-3",3,2,"Local"
"DY",0.753424657534247,"Phi-3",2,1,"Local"
"CD",0.529313232830821,"Phi-3",0,1,"Local"
"XY",11,"Phi-3",6,3,"Global"
"XC",0.504761904761905,"Phi-3",2,1,"Local"
"XD",1.15,"Phi-3",3,2,"Local"
"CY",1.23913043478261,"Phi-3",3,2,"Local"
"DY",0.675799086757991,"Phi-3",2,1,"Local"
"CD",0.530988274706868,"Phi-3",0,1,"Local"
"XY",10.7037037037037,"Phi-3",6,3,"Global"
"XC",0.5,"Phi-3",2,1,"Local"
"XD",1.225,"Phi-3",3,2,"Local"
"CY",1.48550724637681,"Phi-3",3,2,"Local"
"DY",0.872146118721461,"Phi-3",2,1,"Local"
"CD",0.547738693467337,"Phi-3",0,1,"Local"
"XY",11.1481481481481,"Phi-3",6,3,"Global"
"XC",0.485714285714286,"Phi-3",2,1,"Local"
"XD",1.18333333333333,"Phi-3",3,2,"Local"
"CY",1.27536231884058,"Phi-3",3,2,"Local"
"DY",0.780821917808219,"Phi-3",2,1,"Local"
"CD",0.52428810720268,"Phi-3",0,1,"Local"
"XY",11.7407407407407,"Phi-3",6,3,"Global"
"XC",0.595238095238095,"Phi-3",2,1,"Local"
"XD",1.36666666666667,"Phi-3",3,2,"Local"
"CY",1.56521739130435,"Phi-3",3,2,"Local"
"DY",0.940639269406393,"Phi-3",2,1,"Local"
"CD",0.50251256281407,"Phi-3",0,1,"Local"
"XY",11.8148148148148,"Phi-3",6,3,"Global"
"XC",0.457142857142857,"Phi-3",2,1,"Local"
"XD",1.23333333333333,"Phi-3",3,2,"Local"
"CY",1.53623188405797,"Phi-3",3,2,"Local"
"DY",0.899543378995434,"Phi-3",2,1,"Local"
"CD",0.542713567839196,"Phi-3",0,1,"Local"
"XY",11.2592592592593,"Phi-3",6,3,"Global"
"XC",0.642857142857143,"Phi-3",2,1,"Local"
"XD",1.08333333333333,"Phi-3",3,2,"Local"
"CY",1.44202898550725,"Phi-3",3,2,"Local"
"DY",0.885844748858447,"Phi-3",2,1,"Local"
"CD",0.559463986599665,"Phi-3",0,1,"Local"
"XY",11.1481481481481,"Phi-3",6,3,"Global"
"XC",0.533333333333333,"Phi-3",2,1,"Local"
"XD",1.33333333333333,"Phi-3",3,2,"Local"
"CY",1.52898550724638,"Phi-3",3,2,"Local"
"DY",0.885844748858447,"Phi-3",2,1,"Local"
"CD",0.536013400335008,"Phi-3",0,1,"Local"
"XY",11.3333333333333,"Phi-3",6,3,"Global"
"XC",0.538095238095238,"Phi-3",2,1,"Local"
"XD",1.26666666666667,"Phi-3",3,2,"Local"
"CY",1.42753623188406,"Phi-3",3,2,"Local"
"DY",0.817351598173516,"Phi-3",2,1,"Local"
"CD",0.527638190954774,"Phi-3",0,1,"Local"
"XY",11.5185185185185,"Phi-3",6,3,"Global"
"XC",0.576190476190476,"Phi-3",2,1,"Local"
"XD",1.09166666666667,"Phi-3",3,2,"Local"
"CY",1.31159420289855,"Phi-3",3,2,"Local"
"DY",0.789954337899543,"Phi-3",2,1,"Local"
"CD",0.539363484087102,"Phi-3",0,1,"Local"
"XY",11.6296296296296,"Phi-3",6,3,"Global"
"XC",0.60952380952381,"Phi-3",2,1,"Local"
"XD",1.225,"Phi-3",3,2,"Local"
"CY",1.20289855072464,"Phi-3",3,2,"Local"
"DY",0.643835616438356,"Phi-3",2,1,"Local"
"CD",0.541038525963149,"Phi-3",0,1,"Local"
"XY",10.9259259259259,"Phi-3",6,3,"Global"
"XC",0.657142857142857,"Phi-3",2,1,"Local"
"XD",1.375,"Phi-3",3,2,"Local"
"CY",1.43478260869565,"Phi-3",3,2,"Local"
"DY",0.840182648401827,"Phi-3",2,1,"Local"
"CD",0.556113902847571,"Phi-3",0,1,"Local"
"XY",11.4444444444444,"Phi-3",6,3,"Global"
"XC",0.538095238095238,"Phi-3",2,1,"Local"
"XD",1.19166666666667,"Phi-3",3,2,"Local"
"CY",1.52173913043478,"Phi-3",3,2,"Local"
"DY",0.849315068493151,"Phi-3",2,1,"Local"
"CD",0.554438860971524,"Phi-3",0,1,"Local"
"XY",11.4074074074074,"Phi-3",6,3,"Global"
"XC",0.561904761904762,"Phi-3",2,1,"Local"
"XD",1.35,"Phi-3",3,2,"Local"
"CY",1.42028985507246,"Phi-3",3,2,"Local"
"DY",0.904109589041096,"Phi-3",2,1,"Local"
"CD",0.554438860971524,"Phi-3",0,1,"Local"
"XY",11.9259259259259,"Phi-3",6,3,"Global"
"XC",0.542857142857143,"Phi-3",2,1,"Local"
"XD",1.29166666666667,"Phi-3",3,2,"Local"
"CY",1.40579710144928,"Phi-3",3,2,"Local"
"DY",0.82648401826484,"Phi-3",2,1,"Local"
"CD",0.541038525963149,"Phi-3",0,1,"Local"
"XY",11.6666666666667,"Phi-3",6,3,"Global"
"XC",0.542857142857143,"Phi-3",2,1,"Local"
"XD",1.16666666666667,"Phi-3",3,2,"Local"
"CY",1.34057971014493,"Phi-3",3,2,"Local"
"DY",0.785388127853881,"Phi-3",2,1,"Local"
"CD",0.569514237855946,"Phi-3",0,1,"Local"
"XY",10.962962962963,"Phi-3",6,3,"Global"
"XC",0.533333333333333,"Phi-3",2,1,"Local"
"XD",1.24166666666667,"Phi-3",3,2,"Local"
"CY",1.50724637681159,"Phi-3",3,2,"Local"
"DY",0.844748858447489,"Phi-3",2,1,"Local"
"CD",0.5678391959799,"Phi-3",0,1,"Local"
"XY",11.3703703703704,"Phi-3",6,3,"Global"
"XC",0.576190476190476,"Phi-3",2,1,"Local"
"XD",1.20833333333333,"Phi-3",3,2,"Local"
"CY",1.46376811594203,"Phi-3",3,2,"Local"
"DY",0.82648401826484,"Phi-3",2,1,"Local"
"CD",0.547738693467337,"Phi-3",0,1,"Local"
"XY",11.2962962962963,"Phi-3",6,3,"Global"
"XC",0.604761904761905,"Phi-3",2,1,"Local"
"XD",1.225,"Phi-3",3,2,"Local"
"CY",1.2536231884058,"Phi-3",3,2,"Local"
"DY",0.771689497716895,"Phi-3",2,1,"Local"
"CD",0.542713567839196,"Phi-3",0,1,"Local"
"XY",10.8888888888889,"Phi-3",6,3,"Global"
"XC",0.619047619047619,"Phi-3",2,1,"Local"
"XD",1.10833333333333,"Phi-3",3,2,"Local"
"CY",1.57971014492754,"Phi-3",3,2,"Local"
"DY",0.872146118721461,"Phi-3",2,1,"Local"
"CD",0.541038525963149,"Phi-3",0,1,"Local"
"XY",11.8888888888889,"Phi-3",6,3,"Global"
"XC",0.585714285714286,"Phi-3",2,1,"Local"
"XD",1.225,"Phi-3",3,2,"Local"
"CY",1.3768115942029,"Phi-3",3,2,"Local"
"DY",0.757990867579909,"Phi-3",2,1,"Local"
"CD",0.512562814070352,"Phi-3",0,1,"Local"
"XY",10.5555555555556,"Phi-3",6,3,"Global"
"XC",0.633333333333334,"Phi-3",2,1,"Local"
"XD",1.325,"Phi-3",3,2,"Local"
"CY",1.33333333333333,"Phi-3",3,2,"Local"
"DY",0.744292237442922,"Phi-3",2,1,"Local"
"CD",0.549413735343384,"Phi-3",0,1,"Local"
"XY",12.2222222222222,"Phi-3",6,3,"Global"
"XC",0.60952380952381,"Phi-3",2,1,"Local"
"XD",1.24166666666667,"Phi-3",3,2,"Local"
"CY",1.3695652173913,"Phi-3",3,2,"Local"
"DY",0.780821917808219,"Phi-3",2,1,"Local"
"CD",0.554438860971524,"Phi-3",0,1,"Local"
"XY",11.4444444444444,"Phi-3",6,3,"Global"
"XC",0.576190476190476,"Phi-3",2,1,"Local"
"XD",1.35833333333333,"Phi-3",3,2,"Local"
"CY",1.42028985507246,"Phi-3",3,2,"Local"
"DY",0.835616438356165,"Phi-3",2,1,"Local"
"CD",0.514237855946399,"Phi-3",0,1,"Local"
"XY",12,"Phi-3",6,3,"Global"
"XC",0.557142857142857,"Phi-3",2,1,"Local"
"XD",1.29166666666667,"Phi-3",3,2,"Local"
"CY",1.53623188405797,"Phi-3",3,2,"Local"
"DY",0.872146118721461,"Phi-3",2,1,"Local"
"CD",0.566164154103853,"Phi-3",0,1,"Local"
"XY",11.8888888888889,"Phi-3",6,3,"Global"
"XC",0.619047619047619,"Phi-3",2,1,"Local"
"XD",1.48333333333333,"Phi-3",3,2,"Local"
"CY",1.6304347826087,"Phi-3",3,2,"Local"
"DY",0.981735159817352,"Phi-3",2,1,"Local"
"CD",0.474036850921273,"Phi-3",0,1,"Local"
"XY",10.4444444444444,"Phi-3",6,3,"Global"
"XC",0.414285714285714,"Phi-3",2,1,"Local"
"XD",1.35,"Phi-3",3,2,"Local"
"CY",1.42028985507246,"Phi-3",3,2,"Local"
"DY",0.785388127853881,"Phi-3",2,1,"Local"
"CD",0.556113902847571,"Phi-3",0,1,"Local"
"XY",11.6666666666667,"Phi-3",6,3,"Global"
"XC",0.585714285714286,"Phi-3",2,1,"Local"
"XD",1.225,"Phi-3",3,2,"Local"
"CY",1.31159420289855,"Phi-3",3,2,"Local"
"DY",0.73972602739726,"Phi-3",2,1,"Local"
"CD",0.577889447236181,"Phi-3",0,1,"Local"
"XY",12.0740740740741,"Phi-3",6,3,"Global"
"XC",0.566666666666667,"Phi-3",2,1,"Local"
"XD",1.41666666666667,"Phi-3",3,2,"Local"
"CY",1.40579710144928,"Phi-3",3,2,"Local"
"DY",0.849315068493151,"Phi-3",2,1,"Local"
"CD",0.539363484087102,"Phi-3",0,1,"Local"
"XY",11.5185185185185,"Phi-3",6,3,"Global"
"XC",0.595238095238095,"Phi-3",2,1,"Local"
"XD",1.25833333333333,"Phi-3",3,2,"Local"
"CY",1.49275362318841,"Phi-3",3,2,"Local"
"DY",0.908675799086758,"Phi-3",2,1,"Local"
"CD",0.576214405360134,"Phi-3",0,1,"Local"
"XY",11.6666666666667,"Phi-3",6,3,"Global"
"XC",0.528571428571429,"Phi-3",2,1,"Local"
"XD",1.25833333333333,"Phi-3",3,2,"Local"
"CY",1.44202898550725,"Phi-3",3,2,"Local"
"DY",0.876712328767123,"Phi-3",2,1,"Local"
"CD",0.544388609715243,"Phi-3",0,1,"Local"
"XY",11.2962962962963,"Phi-3",6,3,"Global"
"XC",0.466666666666667,"Phi-3",2,1,"Local"
"XD",1.39166666666667,"Phi-3",3,2,"Local"
"CY",1.44202898550725,"Phi-3",3,2,"Local"
"DY",0.899543378995434,"Phi-3",2,1,"Local"
"CD",0.499162479061977,"Phi-3",0,1,"Local"
"XY",11.4814814814815,"Phi-3",6,3,"Global"
"XC",0.557142857142857,"Phi-3",2,1,"Local"
"XD",1.15,"Phi-3",3,2,"Local"
"CY",1.47826086956522,"Phi-3",3,2,"Local"
"DY",0.881278538812785,"Phi-3",2,1,"Local"
"CD",0.534338358458961,"Phi-3",0,1,"Local"
"XY",10.8518518518519,"Phi-3",6,3,"Global"
"XC",0.50952380952381,"Phi-3",2,1,"Local"
"XD",1.23333333333333,"Phi-3",3,2,"Local"
"CY",1.2536231884058,"Phi-3",3,2,"Local"
"DY",0.762557077625571,"Phi-3",2,1,"Local"
"CD",0.571189279731993,"Phi-3",0,1,"Local"
"XY",11.3703703703704,"Phi-3",6,3,"Global"
"XC",0.519047619047619,"Phi-3",2,1,"Local"
"XD",1.23333333333333,"Phi-3",3,2,"Local"
"CY",1.28260869565217,"Phi-3",3,2,"Local"
"DY",0.748858447488585,"Phi-3",2,1,"Local"
"CD",0.554438860971524,"Phi-3",0,1,"Local"
"XY",11.3703703703704,"Phi-3",6,3,"Global"
"XC",0.561904761904762,"Phi-3",2,1,"Local"
"XD",1.30833333333333,"Phi-3",3,2,"Local"
"CY",1.42753623188406,"Phi-3",3,2,"Local"
"DY",0.812785388127854,"Phi-3",2,1,"Local"
"CD",0.520938023450586,"Phi-3",0,1,"Local"
"XY",11.4814814814815,"Phi-3",6,3,"Global"
"XC",0.595238095238095,"Phi-3",2,1,"Local"
"XD",1.06666666666667,"Phi-3",3,2,"Local"
"CY",1.41304347826087,"Phi-3",3,2,"Local"
"DY",0.863013698630137,"Phi-3",2,1,"Local"
"CD",0.5678391959799,"Phi-3",0,1,"Local"
"XY",11.6296296296296,"Phi-3",6,3,"Global"
"XC",0.561904761904762,"Phi-3",2,1,"Local"
"XD",1.11666666666667,"Phi-3",3,2,"Local"
"CY",1.40579710144928,"Phi-3",3,2,"Local"
"DY",0.808219178082192,"Phi-3",2,1,"Local"
"CD",0.566164154103853,"Phi-3",0,1,"Local"
"XY",10.8518518518519,"Phi-3",6,3,"Global"
"XC",0.590476190476191,"Phi-3",2,1,"Local"
"XD",1.275,"Phi-3",3,2,"Local"
"CY",1.42753623188406,"Phi-3",3,2,"Local"
"DY",0.82648401826484,"Phi-3",2,1,"Local"
"CD",0.512562814070352,"Phi-3",0,1,"Local"
"XY",11.1481481481481,"Phi-3",6,3,"Global"
"XC",0.576190476190476,"Phi-3",2,1,"Local"
"XD",1.28333333333333,"Phi-3",3,2,"Local"
"CY",1.33333333333333,"Phi-3",3,2,"Local"
"DY",0.789954337899543,"Phi-3",2,1,"Local"
"CD",0.552763819095477,"Phi-3",0,1,"Local"
"XY",11.2962962962963,"Phi-3",6,3,"Global"
"XC",0.50952380952381,"Phi-3",2,1,"Local"
"XD",1.125,"Phi-3",3,2,"Local"
"CY",1.33333333333333,"Phi-3",3,2,"Local"
"DY",0.780821917808219,"Phi-3",2,1,"Local"
"CD",0.512562814070352,"Phi-3",0,1,"Local"
"XY",10.5925925925926,"Phi-3",6,3,"Global"
"XC",0.542857142857143,"Phi-3",2,1,"Local"
"XD",1.29166666666667,"Phi-3",3,2,"Local"
"CY",1.31884057971014,"Phi-3",3,2,"Local"
"DY",0.730593607305936,"Phi-3",2,1,"Local"
"CD",0.576214405360134,"Phi-3",0,1,"Local"
"XY",11.1111111111111,"Phi-3",6,3,"Global"
"XC",0.585714285714286,"Phi-3",2,1,"Local"
"XD",1.25833333333333,"Phi-3",3,2,"Local"
"CY",1.47826086956522,"Phi-3",3,2,"Local"
"DY",0.863013698630137,"Phi-3",2,1,"Local"
"CD",0.552763819095477,"Phi-3",0,1,"Local"
"XY",11.7407407407407,"Phi-3",6,3,"Global"
"XC",0.519047619047619,"Phi-3",2,1,"Local"
"XD",1.3,"Phi-3",3,2,"Local"
"CY",1.40579710144928,"Phi-3",3,2,"Local"
"DY",0.867579908675799,"Phi-3",2,1,"Local"
"CD",0.549413735343384,"Phi-3",0,1,"Local"
"XY",11,"Phi-3",6,3,"Global"
"XC",0.576190476190476,"Phi-3",2,1,"Local"
"XD",1.36666666666667,"Phi-3",3,2,"Local"
"CY",1.45652173913043,"Phi-3",3,2,"Local"
"DY",0.794520547945206,"Phi-3",2,1,"Local"
"CD",0.539363484087102,"Phi-3",0,1,"Local"
"XY",10.8888888888889,"Phi-3",6,3,"Global"
"XC",0.533333333333333,"Phi-3",2,1,"Local"
"XD",1.125,"Phi-3",3,2,"Local"
"CY",1.31159420289855,"Phi-3",3,2,"Local"
"DY",0.73972602739726,"Phi-3",2,1,"Local"
"CD",0.556113902847571,"Phi-3",0,1,"Local"
"XY",10.5925925925926,"Phi-3",6,3,"Global"
"XC",0.514285714285714,"Phi-3",2,1,"Local"
"XD",1.23333333333333,"Phi-3",3,2,"Local"
"CY",1.3768115942029,"Phi-3",3,2,"Local"
"DY",0.812785388127854,"Phi-3",2,1,"Local"
"CD",0.509212730318258,"Phi-3",0,1,"Local"
"XY",11.4444444444444,"Phi-3",6,3,"Global"
"XC",0.547619047619048,"Phi-3",2,1,"Local"
"XD",1.375,"Phi-3",3,2,"Local"
"CY",1.41304347826087,"Phi-3",3,2,"Local"
"DY",0.785388127853881,"Phi-3",2,1,"Local"
"CD",0.55108877721943,"Phi-3",0,1,"Local"
"XY",12.2222222222222,"Phi-3",6,3,"Global"
"XC",0.571428571428572,"Phi-3",2,1,"Local"
"XD",1.49166666666667,"Phi-3",3,2,"Local"
"CY",1.29710144927536,"Phi-3",3,2,"Local"
"DY",0.757990867579909,"Phi-3",2,1,"Local"
"CD",0.544388609715243,"Phi-3",0,1,"Local"
"XY",10.6296296296296,"Phi-3",6,3,"Global"
"XC",0.423809523809524,"Phi-3",2,1,"Local"
"XD",1.14166666666667,"Phi-3",3,2,"Local"
"CY",1.36231884057971,"Phi-3",3,2,"Local"
"DY",0.817351598173516,"Phi-3",2,1,"Local"
"CD",0.559463986599665,"Phi-3",0,1,"Local"
"XY",11.962962962963,"Phi-3",6,3,"Global"
"XC",0.566666666666667,"Phi-3",2,1,"Local"
"XD",1.18333333333333,"Phi-3",3,2,"Local"
"CY",1.51449275362319,"Phi-3",3,2,"Local"
"DY",0.872146118721461,"Phi-3",2,1,"Local"
"CD",0.537688442211055,"Phi-3",0,1,"Local"
"XY",12.2222222222222,"Phi-3",6,3,"Global"
"XC",0.504761904761905,"Phi-3",2,1,"Local"
"XD",1.11666666666667,"Phi-3",3,2,"Local"
"CY",1.48550724637681,"Phi-3",3,2,"Local"
"DY",0.808219178082192,"Phi-3",2,1,"Local"
"CD",0.552763819095477,"Phi-3",0,1,"Local"
"XY",11.8518518518518,"Phi-3",6,3,"Global"
"XC",0.652380952380952,"Phi-3",2,1,"Local"
"XD",1.14166666666667,"Phi-3",3,2,"Local"
"CY",1.44927536231884,"Phi-3",3,2,"Local"
"DY",0.82648401826484,"Phi-3",2,1,"Local"
"CD",0.549413735343384,"Phi-3",0,1,"Local"
"XY",11.4444444444444,"Phi-3",6,3,"Global"
"XC",0.638095238095238,"Phi-3",2,1,"Local"
"XD",1.29166666666667,"Phi-3",3,2,"Local"
"CY",1.44202898550725,"Phi-3",3,2,"Local"
"DY",0.849315068493151,"Phi-3",2,1,"Local"
"CD",0.539363484087102,"Phi-3",0,1,"Local"
